name,description,key_skills,experience_id,premium,employer_name,salary_from,salary_to,salary_gross,salary_currency,area_name,published_at
РАЗРАБОТЧИК JavaScript (Node.js Back-end),"OneTwoTrip — самый высокотехнологичный сервис путешествий. Ежедневно на нашем сайте и в мобильном приложении десятки миллионов поисковых запросов превращаются в десятки тысяч путешествий. Более 2,5 млн. человек — наши клиенты. Наш сервис функционален, прост и удобен в использовании. Мы создаем уникальные предложения, собирая в реальном времени комбинации из авиабилетов и отелей, и легко комбинируем рейсы разных авиакомпаний, включая лоукостеры. Купить билет на Сапсан в нашем приложении можно за 1 минуту. Сервис находит, выписывает и бронирует лучшие варианты, принимает оплату картами, Apple Pay и оказывает круглосуточную поддержку по всем современным средствам связи, включая мессенджеры. Наша команда непрерывно РАБОТАЕТ над качеством и скоростью поиска, чтобы путешественники находили лучшие варианты и цены на отели, авиа и ж/д билеты, туры и другие продукты.Мы всегда ищем талантливых и амбициозных специалистов и руководителей. Приходите к нам РАБОТАТЬ и рекомендуйте друзьям! Наша система построена на стеке Nginx/React/Node.js/Riak/Redis. OneTwoTrip это настоящий высоконагруженный проект, участвовать в котором мы доверяем лучшим профессионалам своего дела.   Основные задачи:  РАЗРАБОТКА нового и поддержка текущего функционала системы    Что мы ожидаем от Вас:  Опыт РАЗРАБОТКИ на JavaScript Опыт РАЗРАБОТКИ серверных приложений в среде Unix на каком-либо языке (python, ruby, php, nodejs) Понимание принципов построения масштабируемых систем, основные проблемы, пути решения    Мы предлагаем:  ДМС Бонусы и премии за результат: мы любим строить смелые планы и еще больше любим воплощать их Интересные и амбициозные задачи Неограниченный профессиональный рост и возможность РАБОТАТЬ с технической системой мирового уровня Ресурсы на реализацию смелых идей, идущих на пользу сервису РАБОТУ по гибкому графику в одном из лучших офисов Москвы рядом с метро «Проспект мира», «Цветной Бульвар», «Достоевская» Посещение профильных мероприятий, библиотека с хорошими книгами и обмен опытом с интересными людьми  А ещё вы будете РАБОТАТЬ в отличной команде, участвовать в необычных тимбилдингах и веселиться на пятничных вечеринках. И конечно же в офисе всегда есть вкусный бесплатный кофе и утренние фрукты :)","JavaScript
Node.js",between1And3,False,OneTwoTrip,120000.0,200000.0,True,RUR,Москва,20:06:27 01/07/2017
Frontend - РАЗРАБОТЧИК,"Frontend - РАЗРАБОТЧИК   Мы занимаемся:  Компания Mircod занимается РАЗРАБОТКОЙ электронных устройств и программного обеспечения для мобильных, веб и десктопных платформ.  Требования:  Отличные знания JavaScript, HTML5, CSS от 2х лет SASS или LESS Bootstrap JSON Использование распределенных систем контроля версий (GIT); Понимание принципов кроссбраузерной РАЗРАБОТКИ РАЗРАБОТКА новый сайтов согласно дизайну Поддержка существующих сайтов Поисковое продвижение  Приветствуется:  PHP Ruby on Rails Node.js Python  Мы предлагаем:  Белая ЗАРАБОТНАЯ плата, оформление по ТК Полный РАБОЧИЙ день РАБОТА из офиса в центре Казани (5 мин. от ст. Кремлёвская) Молодой дружный коллектив ЗАРАБОТНАЯ плата по результатам собеседования с возможностью роста ","JSON API
Git
HTML5
JavaScript
CSS3
Less
Sass
Bootstrap
PHP",between1And3,False,Mircod,70000.0,100000.0,False,RUR,Казань,20:16:49 06/07/2017
PHP-РАЗРАБОТЧИК,"PHP РАЗРАБОТЧИК   Мы - компания ILAR Technology - ищем опытных РАЗРАБОТЧИКОВ для реализации и поддержки проектов на 1С-Bitrix, Wordpress. В нашем коллективе трудятся программисты, влюбленные в свою профессию. У нас много интересных проектов, поэтому прямо сейчас в нашу команду требуются амбициозные PHP-РАЗРАБОТЧИКИ.   ЧТО ТРЕБУЕТСЯ ОТ ТЕБЯ:  Опыт РАБОТЫ с 1С-Bitrix, Wordpress Опыт программирования и веб-РАЗРАБОТКИ с использованием PHP от 2х лет Понимание принципов ООП; Знание основ Unix/Linux Знание основ HTML/CSS, JavaScript, jQuery Знание СУБД MySQL и особенностей её РАБОТЫ (знание других СУБД будет плюсом) Опыт РАБОТЫ в команде Умение РАБОТАТЬ с чужим кодом и способность писать понятный код Опыт РАБОТЫ с системами контроля версий (мы используем Git) Ответственный подход к РАБОТЕ, желание развиваться, любовь к современным технологиям в web-РАЗРАБОТКЕ Умение рассчитывать сроки выполнения задач    ЧТО НУЖНО БУДЕТ ДЕЛАТЬ У НАС В КОМПАНИИ:  РАЗРАБАТЫВАТЬ проекты различной сложности: от корпоративных сайтов до высоконагруженных сервисов; Поддерживать существующие проекты; Общаться с коллегами. Коммуникация - наше всё! Ну и самое главное: предстоит писать много качественного, хорошего кода.    Условия РАБОТЫ  5 дневная РАБОЧАЯ неделя (в выходные РАБОТА не допускается); РАБОЧИЙ день начинается в 9 и заканчивается в 18; Официальное трудоустройство, белая зарплата.    В офисе  РАБОТА в центре Казани е в 5 минутах пешком от станции метро Площадь Тукая; Перерыв на обед в течение часа в промежутке с 12 до 16; РАБОЧЕЕ место, оборудованное столом, стулом и компьютером iMac или аналог на Windows&#39;е; Кофе крепкий; Чай в пакетиках; Вода в кулере; Веселый коллектив (по крайней мере - мы так думаем)    Про офис  Рядом находится озеро Кабан; В офисе сидит молодой коллектив; Зимой тепло, летом — встречаем закаты, Офис вошел в обзоры красивых офисов от издания Enter ","1С-Битрикс
HTML
CSS
MySQL
CMS Wordpress
PHP
SQL
Git",between1And3,False,Илар Групп,40000.0,65000.0,False,RUR,Казань,17:27:12 21/07/2017
Web-программист,Обязанности:  ДОРАБОТКА web фнкционала на python написание addon для CMS на php РАБОТА с передачей данных посредством json контроль регламентных задач cron  Требования:  знания python / django знания php знания json nginx UNIX*  Условия:  РАБОТА с 9:00 до 18:00 РАБОЧИЕ дни Пн - Пт ,"Unix
Unix Shell Scripts
Python
PHP
MySQL
JavaScript
Nginx",moreThan6,False,Патрон Сервис Крым,30000.0,60000.0,True,RUR,Симферополь,09:00:39 24/07/2017
Web-программист,"Обязанности:  Верстка и сборка проектов, программирование функциональных модулей систем управления и ДОРАБОТКА функционала систем.  Требования:  Знание PHP, JavaScript, html, CSS. Умение разбираться в РАБОТЕ систем управления. Приветствуется знание 1С Битрикс и опыт РАБОТЫ. Желателен опыт РАЗРАБОТКИ мобильных приложений, nodeJS  Условия:  Слаженный коллектив, стабильная зарплата, стабильная загрузка интересными проектами. Офис на северо-западе с зерновым вкусным кофе, чаем, газировкой и печеньками за счет компании. Официальное трудоустройство. Оклад + премия. ",1С-Битрикс,between1And3,False,Всевсеть,40000.0,60000.0,False,RUR,Челябинск,16:17:05 24/07/2017
Junior project manager (producer) / ассистент,"Junior project manager (producer) / ассистент / помощник / стажер   В веселый дружный коллектив digital-агентства RVR Project, требуется начинающий project manager (producer) c обязательным желанием развиваться в сфере интернет-технологий, коммуникаций, рекламы, и всего такого прочего. Или просто бодрый, активный, энергичный, грамотный ассистент, который хочет научиться чему-то новому, и готов помогать нам с различными внутренними и проектными задачами. Мы гарантируем большой объем разноплановых задач и максимальную помощь в их решении. Первые пару раз. А дальше — по аналогии. В зависимости от внутренней природной предрасположенности и успехов в РАБОТЕ, у нас можно прокачаться и развиться в крутого digital-специалиста cо стремительным карьерным ростом в какой-то узкой специализации. Или широкой, как сложится ;) Обязанности:  Решение различных задач в рамках проектов по РАЗРАБОТКЕ и поддержке сайтов и приложений, SEO, SMM, SERM, ORM, контекстной, медийной и таргетированной рекламе Подготовка презентаций и коммерческих предложений Составление смет и таймлайнов РАЗРАБОТКА технических заданий и прототипов Мониторинг поисковых систем, социальных сетей, форумов и блогов Оценка тональности комментариев Ответы и комментарии в социальных сетях и на форумах Создание и размещение контента на сайтах и форумах, в социальных сетях и блогах Аналитика, статистика РАБОТА с различными сервисами Подготовка отчетов и данных для них И еще длиннющий список возможных задач и процессов  Требования:  Активность и энергичность Внимательность, организованность и исполнительность Обучаемость Желание учиться и развиваться Грамотная устная и письменная речь Умение пользоваться интернетом и поисковиками Знание социальных сетей Владение стандартным пакетом офисных программ Чувство юмора Любовь к прекрасному  Плюсами будет:  Владение графическими или видео редакторами Опыт в любом из направлений нашей деятельности Навыки РАБОТЫ с какими-либо CMS (лучше Bitrix) Знания HTML/CSS Наличие вкуса и чувства стиля  Условия:  Агентство на этапе развития График РАБОТЫ: 5/2 Обучение, тренинги, семинары, конференции Испытательный срок от месяца до трех Трудоустройство по ТК РФ Адрес: Москва, Кутузовский проезд, (Парк Победы, Фили) Тип занятости: полная занятость (хотя, можем рассмотреть и частичную, если Вы нас впечатлите) Кофе, чай, печеньки, апельсины ","Русский язык
Грамотная речь
Грамотность
Пользователь ПК
РАБОТА в команде
Деловое общение
Деловая переписка
Поиск информации в интернет
Internet
Написание текстов
MS Excel
Исполнительность
Ответственность
Adobe Photoshop
Adobe Illustrator
CorelDRAW
1С-Битрикс
Социальные сети
ОБРАБОТКА видео
SMM
Чувство юмора
Adobe After Effect
Final Cut",noExperience,False,Энтерпрайз,20000.0,35000.0,False,RUR,Москва,14:32:16 26/07/2017
Frontend-РАЗРАБОТЧИК,"В молодую IT-компанию и на внутренний проект компании требуется frontend-РАЗРАБОТЧИК. РАБОТУ возможно совмещать с обучением в университете. Обязанности:  РАЗРАБОТКА клиентской части web-приложений Программирование JavaScript Верстка HTML5/CSS3    Требования:  Уверенное знание Javascript Уверенное знание и понимание HTML, CSS Знание особенности РАБОТЫ браузеров Опыт кроссбраузерной верстки Умение использовать AJAX, понимание архитектуры клиент-сервер Умение РАБОТАТЬ с Git Знание английского языка на уровне чтения технической литературы и документации Умение оценивать время РАЗРАБОТКИ  Большим плюсом будет:  Опыт РАЗРАБОТКИ с использованием JS фреймфорков (Angular.js, React.js, ...) Если вы интересуетесь новыми технологиями фронтенда Наличие профиля на Github с OpenSource НАРАБОТКАМИ Наличие базовых навыков РАБОТЫ в команде    Условия:  20-30 часовая РАБОЧАЯ неделя Гибкий график Возможность выполнять часть задач удаленно Молодой коллектив Кофе-машина  ​​​​","JavaScript
HTML
CSS
Git
HTML5
Ajax
AngularJS",between1And3,False,Гладс Групп,30000.0,70000.0,True,RUR,Москва,13:27:18 28/07/2017
Web-РАЗРАБОТЧИК (CMS),"Ищем CMS-гуру, который хорошо знает 1С-Битрикс, Wordpress и не гнушается Joomla или CS-Cart. Мы специализируемся на интернет-магазинах и веб-сервисах, преимущественно самописные системы и CMS Битрикс. Стремимся дать нашим клиентам максимальный уровень клиентского сервиса. Обязанности:   РАЗРАБОТКА с нуля и поддержка решений на 1C-Битрикс, Wordpress, Joomla, CS-Cart;   написание технической документации на РАЗРАБОТАННЫЕ решения и ДОРАБОТКА ТЗ (архитектурная часть, не UI);   написание и обновление пользовательской документации на проект;   Требования и опыт:   php (middle), mysql, js (junior, middle), git. Плюсом будет знание angular, умение верстать на элементарном уровне и опыт РАБОТЫ в консоле;   умение разбираться в технической документации (описание API, инструкции к сервисам и т.п.), в том числе и на английском языке;   внимание к мелочам, аккуратность;   структурированный, хорошо документированный код;   1С-Битрикс на уровне понимания структуры шаблонов и общей архитектуры системы. Сертификаты РАЗРАБОТЧИКА битрикса будут плюсом;   wordpress на уровне могу написать плагин и натянуть шаблон.   Условия:   удаленная РАБОТА, но для соискателей из Нижнего Новгорода возможна РАБОТА в офисе;   оплата почасовая за непосредственную РАБОТУ над задачами клиентов, возможно совмещение с основным местом РАБОТЫ;   фиксированная ежемесячная оплата при прохождении испытательного срока.  ","PHP
JavaScript
MySQL
HTML
CSS
jQuery
Git
1С-Битрикс
CMS Wordpress
Joomla CMS
CS-Cart",between1And3,False,Чили.Лаб,20000.0,70000.0,False,RUR,Нижний Новгород,18:26:26 01/08/2017
UX/UI-дизайнер,"Ищем UX/UI-дизайнера на постоянную РАБОТУ в офис.   Компания – система умного дома: один продукт, одна команда. Сами производим устройства, сами строим экосистему вокруг них. Налажены продажи по всей России, сервисные центры и служба поддержки.   Кто нам нужен:  Нужен человек с опытом и продуктовой экспертизой. Нужно будет развивать текущую версию приложения под iOS и Android, строить гипотезы, проводить исследования и доказывать свои решения. Результатом каждого спринта вашей РАБОТЫ будет кликабельный прототип.    Ключевые вещи, которые нам важны:   Опыт проектирования современных продуктов Сильное портфолио Знание Sketch, программ для прототипирования и анимации, iOS и Android гайдов Опыт создания сайтов — большой плюс (но не обязательно) Самостоятельность, гибкость, пунктуальность, ответственность, стрессоустойчивость    Условия:  Интересный продукт — (похожие проекты: HomeKit от Apple, Nest от Google, Smart Things от Samsung, Lifecontrol от Мегафона) Возможности для профессионального и карьерного роста Оформление согласно ТК РФ, белая ЗАРАБОТНАЯ плата Комфортный и современный офис в стиле лофт, ст. м. Павелецкая, Дербеневская набережная (Деловой квартал «Новоспасский») Уютная кухня с чаем и кофе Свободный стиль одежды В общем, у нас довольно классненько    Пожалуйста, присылайте примеры РАБОТЫ с рассказом о себе для начала разговора.","Sketch
Invision
Principle for Mac
Flinto
Framer
Figma
Adobe After effects",between3And6,False,Anywayanyday,120000.0,160000.0,False,RUR,Москва,09:37:47 02/08/2017
Помощник веб-программиста,"Консалтинговая компания в связи с растущим объемом заказов примет на РАБОТУ помощника руководителя отдела web-РАЗРАБОТКИ    Обязанности:  Поддержка сайтов, верстка, наполнение контентом, оптимизация сайтов РАЗРАБОТКА на PHP/MySQL/JS ДОРАБОТКА, на базе имеющихся, программных модулей CMS для интернет-сайтов различного уровня сложности РАБОТА с CRM системой Битрикс24, РАБОТА с rest api Битрикс    Требования:  Знания HTML (5), CSS (3), Less. Опыт РАБОТЫ в редакторах исходного кода; Умение писать чистый и короткий, семантичный код CSS/HTML; Опыт РАБОТЫ с Bootstrap 3 и адаптивной версткой; Базовые знания и опыт РАБОТЫ с – JavaScript, Jquery, Php; Опыт РАБОТЫ c популярными CMS; Базовые знания SEO оптимизации; Базовые знания Adobe (Photoshop, Illustrator, InDesign, Premier, Acrobat); Понимание или опыт РАБОТЫ с базами данных и облачными серверами; Ответственность, хорошие коммуникативные навыки; Стремление к высокому качеству РАБОТ, внимание к деталям, аккуратность, скрупулезность; Быстрая ориентация в новых программных продуктах на уровне администратора; Самообучаемость, желание обучаться новому в сфере web-программирования.    Условия:  Интересная РАБОТА Обучение Перспектива карьерного и финансового роста ","CRM
HTML
PHP
SEO оптимизация
jQuery
CSS
CMS Wordpress
Adobe Photoshop
Adobe Illustrator
MySQL",between1And3,False,Profit Lab,25000.0,40000.0,False,RUR,Красноярск,01:44:27 03/08/2017
